Molecule,Id,Alert Level,Triage,Created By,Binding Confidence (TGT-TBXT-A),Structure Confidence (TGT-TBXT-A),Optimization Score (TGT-TBXT-A)
CCC(CC)(C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)c1ccccc1,SM-QXUPMH9L,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5457011461257935,0.8262465596199036,0.2712205648422241
O=C(CCCCOc1ccccc1)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-NRGCX5TG,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5697739720344543,0.7937772274017334,0.2666948437690735
O=C(CCCCc1ccccc1Br)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-1S51G4L2,Major,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5366157293319702,0.7784389853477478,0.27062439918518066
CCC(Oc1ccccc1C)C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-YNNVE6PB,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5443731546401978,0.8319794535636902,0.27492159605026245
O=C(CC(O)c1ccccc1Br)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-VFV6P7B8,Major,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5465904474258423,0.8115615248680115,0.2991757392883301
CC(C)(CC(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)c1ccccc1Cl,SM-BZ8WBSFB,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5249168872833252,0.8392331004142761,0.3044695258140564
CCCC(C)(C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)c1ccccc1,SM-GSKYLRCX,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5463623404502869,0.8299610018730164,0.2714851498603821
CC(C)C(Oc1ccccc1)C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-FP5HNG1M,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5394113659858704,0.8151237368583679,0.2636011242866516
Cc1ccccc1OC(C)(C)C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-LUDWDFH9,None,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5487648248672485,0.8302370309829712,0.27300992608070374
O=C(CCc1ccccc1Br)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,SM-LA3ND1NR,Major,"1 up, 0 down, 0 flagged",VS-TBXT-SJH7,0.5872722268104553,0.8158513903617859,0.2734692096710205
