compound_id,canonical_smiles,supplier,pKD_global_mean,pKD_global_std,n_dates,mw,logp,hbd,hba,heavy_atoms,num_rings,tpsa,rotatable_bonds,passes_chordoma_filters
1000062067,COc1cccc(Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)c1,ChemSpace (numeric),2.890109975118567,,1,342.15795718399994,2.0064999999999995,3.0,5.0,25.0,3.0,82.03,4.0,True
1000065718,COc1ccc(C(=O)Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)cc1,ChemSpace (numeric),2.5403721597408295,,1,370.152871804,1.5151999999999999,3.0,5.0,27.0,3.0,99.10000000000001,4.0,True
101855926,O=C1CC2(CCN(C(=O)c3ccccc3Nc3ccc(SC(F)F)cc3)CC2)N1,ChemSpace (numeric),3.576846710593981,,1,417.1322543520001,4.239600000000003,2.0,4.0,29.0,4.0,61.440000000000005,5.0,True
105107348,O=C(Nc1c[nH]nc1Cl)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.1540436501827895,,1,338.033730984,2.708100000000001,2.0,3.0,22.0,3.0,78.08999999999999,3.0,True
105155594,CN(CCCN1CCCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.150653634324521,,1,387.17135475199996,3.1079000000000008,0.0,3.0,27.0,3.0,45.550000000000004,7.0,True
1132328100,C[C@@H]1CN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C[C@H]1O,ChemSpace (numeric),3.340335610162671,,1,340.14230712,1.8216999999999999,1.0,4.0,25.0,4.0,73.99000000000001,3.0,True
1167298751,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.8363811201272076,,1,373.15570468799996,2.621600000000001,1.0,3.0,26.0,3.0,54.34,5.0,True
1181032117,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.365909297963787,,1,336.098918084,0.7145000000000001,2.0,3.0,23.0,3.0,95.74000000000001,3.0,True
1192001018,O=C(c1occc1CN1C(=O)Cc2ccccc21)N1CCC(O)C1,ChemSpace (numeric),2.988120443146682,,1,326.126657056,1.5756999999999999,1.0,4.0,24.0,4.0,73.99000000000001,3.0,True
1257035688,Cc1ccccc1N1CCCC(Nc2ccc(Cl)c(C(N)=O)c2)C1=O,ChemSpace (numeric),3.4202277871102655,,1,357.12440455999996,3.354820000000001,2.0,3.0,25.0,3.0,75.43,4.0,True
1288418269,CCNC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),3.8579422583945964,,1,367.18959166,2.583000000000001,1.0,4.0,27.0,4.0,65.79,5.0,True
1390181723,O=C(NCC1(O)CCOc2ccccc21)C1OCCc2ccccc21,ChemSpace (numeric),2.741112000381227,,1,339.147058152,2.0868999999999995,2.0,4.0,25.0,4.0,67.79,3.0,True
1408803353,COC1CCN(C(=O)c2ccccc2Nc2ccccc2)C1,ChemSpace (numeric),2.933807050208411,,1,296.15247788,3.291100000000002,1.0,3.0,22.0,3.0,41.57,4.0,True
1440526295,CCN(CC1CCOCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.3630303715799097,,1,388.15537034000005,3.4387000000000025,0.0,3.0,27.0,3.0,51.54,6.0,True
1443520257,CC1=NOC(C)(CNC(=O)C2OCCc3ccccc32)C1,ChemSpace (numeric),2.2624852509433713,,1,288.1473925,1.9714999999999998,1.0,4.0,21.0,3.0,59.92,3.0,True
162723460,COC1CCCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.8373049548092264,,1,324.183778008,3.989620000000003,1.0,3.0,24.0,3.0,41.57,4.0,True
162826242,COC1CCCN(C(=O)c2ccccc2Nc2ccc(OC(F)F)cc2)C1,ChemSpace (numeric),2.354321056684698,,1,376.15984900399997,4.282600000000003,1.0,4.0,27.0,3.0,50.8,6.0,True
173355673,CN(CC1CCCO1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.751116081281551,,1,360.12407021200005,2.801000000000001,0.0,3.0,25.0,3.0,51.54,5.0,True
182917741,CS(=O)(=O)NC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),2.7441832433923032,,1,417.135841836,1.5226999999999993,1.0,5.0,29.0,4.0,99.93,5.0,True
189605232,CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.714971599423282,,1,400.074533176,4.475600000000004,0.0,2.0,27.0,3.0,42.31,5.0,True
192562786,CN(Cc1ccccc1Br)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.864274546405571,,1,444.024017596,4.584700000000004,0.0,2.0,27.0,3.0,42.31,5.0,True
195394279,COc1cccc(Nc2ccccc2C(=O)N2CCC(C3CC3)C2)c1,ChemSpace (numeric),3.450299026214787,,1,336.183778008,4.310900000000003,1.0,3.0,25.0,4.0,41.57,5.0,True
213364210,CN(CCNC(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1)C1CC1,ChemSpace (numeric),3.1589351859899075,,1,359.140054624,2.3740000000000006,1.0,3.0,25.0,3.0,54.34,7.0,True
224461280,CC(C)N(C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1)C1CC1,ChemSpace (numeric),3.677876355827021,,1,344.129155592,3.5630000000000024,0.0,2.0,24.0,3.0,42.31,5.0,True
258896354,O=C(c1ccccc1Nc1ccc(SC(F)F)cc1)N1CCC(O)CC1,ChemSpace (numeric),3.7070136829047824,,1,378.12135532,4.341800000000004,2.0,4.0,26.0,3.0,52.57000000000001,5.0,True
268757722,O=C(Nc1ncccc1O)C1CC(=O)N(c2c(F)cccc2F)C1,ChemSpace (numeric),2.8682547832756664,,1,333.092497716,2.0569999999999995,2.0,4.0,24.0,3.0,82.52999999999999,3.0,True
283812978,COC(=O)C1CCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.831157161978425,,1,338.163042564,3.3737200000000014,1.0,4.0,25.0,3.0,58.64,4.0,True
293497032,COc1ccc(NC(=O)C2CC(=O)N(c3ccccc3Cl)C2)cc1O,ChemSpace (numeric),3.824136300599861,,1,360.08768470399997,3.045800000000002,2.0,4.0,25.0,3.0,78.87,4.0,True
302181339,CN1CCC(N(C)C(=O)c2ccc(=O)n(Cc3ccccc3Cl)c2)C1=O,ChemSpace (numeric),2.881901889586504,,1,373.11931917999993,1.8527,0.0,3.0,26.0,3.0,62.620000000000005,4.0,True
342837836,NC(=O)c1cn(CC(=O)NC2CCN(c3ccccc3Cl)C2=O)c2ccccc12,ChemSpace (numeric),3.558455744631982,,1,410.114568148,2.3153000000000006,2.0,3.0,29.0,4.0,97.43,5.0,True
342853879,Cc1ccc(S(C)(=O)=O)cc1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.6933148710185884,,1,406.075405768,2.587220000000001,1.0,4.0,27.0,3.0,83.55000000000001,4.0,True
348280646,CN(C)C(=O)NCCNC(=O)c1ccccc1Nc1ccc(SC(F)F)cc1,ChemSpace (numeric),3.616833692906068,,1,408.14315338399996,3.7459000000000024,3.0,4.0,28.0,2.0,73.47,8.0,True
354012616,Cc1ccc(NC(=O)C(=O)NC2CCN(c3ccccc3Cl)C2=O)cc1,ChemSpace (numeric),2.4511834020634047,,1,371.10366911599994,2.5086200000000005,2.0,3.0,26.0,3.0,78.51,3.0,True
359878733,Cc1ccc(Cl)cc1NC(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),3.66407123848576,,1,377.069782144,4.2288200000000025,2.0,2.0,25.0,3.0,61.440000000000005,3.0,True
427095899,Cc1ccc(NC2CCCN(c3ccccc3)C2=O)cc1C(N)=O,ChemSpace (numeric),2.9864723841983007,,1,323.163376912,2.7014199999999997,2.0,3.0,24.0,3.0,75.43,4.0,True
441728059,O=C(Nc1ccc(Oc2cccnc2)cc1)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.7506804389574193,,1,407.103669116,4.518900000000003,1.0,4.0,29.0,4.0,71.52999999999999,5.0,True
442487817,Cc1ccc(NC2CCN(c3ccccc3Cl)C2=O)cc1-c1nnnn1C1CC1,ChemSpace (numeric),3.6132323350635116,,1,408.1465369720001,3.8542200000000024,1.0,5.0,29.0,5.0,75.94,5.0,True
444853644,COc1ccccc1N1CCCC(Nc2ccc(C)c(C(N)=O)c2)C1=O,ChemSpace (numeric),2.9173368754446702,,1,353.17394159599996,2.71002,2.0,4.0,26.0,3.0,84.66,5.0,True
520438318,COC(=O)c1cc(NC2CCN(c3ccccc3OC)C2=O)ccc1C,ChemSpace (numeric),3.281787745785536,,1,354.157957184,3.007620000000002,1.0,5.0,26.0,3.0,67.87,5.0,True
543294655,Cc1cc(=O)[nH]cc1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.45415781378126,,1,345.08801905199994,1.8720199999999996,2.0,3.0,24.0,3.0,82.27000000000001,3.0,True
5620336,Cc1ccc2c(c1)/C(=N\Nc1nnc3c(n1)[nH]c1c(C)cccc13)C(=O)N2,ChemSpace (numeric),5.705584263745457,,1,357.1338081,2.8912400000000007,3.0,6.0,27.0,5.0,107.94999999999999,2.0,True
5623246,Cc1ccc2c(c1)/C(=N/Nc1nnc3c(n1)[nH]c1ccc(C)cc13)C(=O)N2,ChemSpace (numeric),5.211018344617544,,1,357.1338081,2.8912400000000007,3.0,6.0,27.0,5.0,107.94999999999999,2.0,True
563191074,COC(=O)c1cc(NC(=O)NC2CCN(c3ccccc3Cl)C2=O)ccc1C,ChemSpace (numeric),3.7988420484754157,,1,401.11423379999997,3.362020000000002,2.0,4.0,28.0,3.0,87.73999999999998,4.0,True
564756750,O=C(Nc1nccn1-c1ccccc1)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.339522271483832,,1,380.104003464,3.5173000000000023,1.0,3.0,27.0,4.0,67.23,4.0,True
568683595,Cc1cnc(NC(=O)C2CC(=O)N(c3ccccc3Cl)C2)[nH]1,ChemSpace (numeric),3.018906319237477,,1,318.0883534000001,2.3631199999999994,2.0,3.0,22.0,3.0,78.09,3.0,True
572737672,O=C(Nc1nnc(-c2ccc(O)c(Cl)c2)[nH]1)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.8724388300080825,,1,431.0551947,3.4757000000000016,3.0,5.0,29.0,4.0,111.21,4.0,True
588023896,CCN(C)CC1CCN(C(=O)c2ccccc2Nc2ccccc2)C1,ChemSpace (numeric),2.947281882219708,,1,337.215412484,3.844000000000002,1.0,3.0,25.0,3.0,35.58,6.0,True
