compound_id,n_measurements,n_batches,pKD_mean,pKD_std,pKD_min,pKD_max,pKD_range
M567200,100,12,3.795239380043575,2.0628568232206153,2.097787683992366,11.798820168927348,9.70103248493498
CSC133079415,28,4,2.2062874355019706,2.9246062018273737,-1.8649443225271067,4.609675215832684,6.474619538359791
Injection variables,4,4,,,,,
UNC-ZDG-79-A,3,3,4.35377037663692,0.3652648742349783,4.006554966007205,4.734741343683028,0.7281863776758231
UNC-ZDG-82-5,3,3,4.231366397686981,0.08727354852598625,4.135464438408388,4.306127504651841,0.17066306624345362
UNC-ZDG-166-3,5,3,4.5114325380299585,0.19986410473034893,4.377680419492054,4.849464946607217,0.4717845271151626
CF-9-25,4,2,7.105794772301399,3.3972848464357743,5.073256762192281,12.146637116525758,7.0733803543334774
UNC-AH-02-090A,4,2,3.9938090064842156,0.09155715308314404,3.914518186016032,4.073099826952399,0.15858164093636695
UNC-ZDG-194-12,4,2,4.20343114517515,0.5326733184636048,3.74212251946751,4.6647397708827905,0.9226172514152804
CF-7-35,2,2,2.286230077699271,3.042536600668831,0.13483181535807354,4.437628340040468,4.302796524682394
CF-3-111,2,2,3.7989742782989806,0.20624650112939533,3.6531359787543862,3.944812577843575,0.29167659908918875
MCULE-8782117507,2,2,4.62791695052213,0.22482979134929126,4.46893828044629,4.786895620597971,0.31795734015168087
CF-5-295,4,2,4.11806417368942,0.15721161535898445,3.9884301700254055,4.306547885880738,0.31811771585533233
UNC-ZDG-189-8,2,2,4.261641291878808,0.29283754878069357,4.054573875349933,4.468708708407683,0.4141348330577497
CF-2-238,2,2,4.096259903228378,0.3296078115602615,3.8631919845420595,4.3293278219146965,0.466135837372637
CF-8-46,2,2,4.896857922646408,0.10505333864385012,4.822573994505055,4.971141850787761,0.14856785628270597
UNC-AH-02-071A-1,5,2,4.182421972532901,0.3821129392116129,3.8086005452813687,4.712388811538491,0.9037882662571226
CF-5-132,2,2,6.821919991612469,,6.821919991612469,6.821919991612469,0.0
CF-2-204,2,2,4.054131430025135,0.09888971161896086,3.984205844349786,4.124057015700484,0.13985117135069824
CF-2-193,2,2,4.311935063651316,0.18957275067649976,4.177886886119777,4.445983241182856,0.2680963550630793
CF-8-39,2,2,4.8232526415189625,0.47072070575992936,4.490402838431199,5.156102444606725,0.6656996061755267
CF-5-264,4,2,4.077827040915246,0.1756314996762716,3.94046948057636,4.307572028717519,0.3671025481411596
CF-8-54,2,2,5.0780779201333175,0.29378547642239533,4.870340217540921,5.285815622725713,0.4154754051847922
UNC-ZDG-167-1,2,2,5.061751188302091,0.013758026374026002,5.052022794557274,5.0714795820469085,0.01945678748963431
UNC-ZDG-189-10,2,2,4.037451670787524,0.00856411782039146,4.031395925001845,4.0435074165732035,0.012111491571358712
MCULE-9640890786,2,2,4.455412441609612,0.2858197411123286,4.253307364472101,4.657517518747123,0.40421015427502205
CF-8-44,2,2,5.2896587817430945,0.44701970657033907,4.973568115903188,5.605749447583002,0.6321813316798144
UNC-ZDG-82-5(20210312),2,2,1.2334978065162907,4.345354591253645,-1.8391318916192598,4.306127504651841,6.145259396271101
UNC-ZDG-189-6,2,2,4.574733289431032,0.12866399872849643,4.483754103435535,4.665712475426529,0.1819583719909943
CF-9-10,4,2,4.372917068578323,0.24349780512521282,4.171603675356247,4.663014509185172,0.49141083382892514
CF-2-179-Fr-2,2,2,4.753190266312785,0.01981436593667506,4.739179393794051,4.7672011388315205,0.028021745037469792
Compounds,2,2,,,,,
CSSS00027408905,2,2,4.698713402145983,,4.698713402145983,4.698713402145983,0.0
CSC026321816,2,2,2.1612055489917137,3.337977616383845,-0.19910105900221117,4.521512156985638,4.720613215987849
CF-5-262,4,2,3.684629134211404,0.27651133219340784,3.446313900407147,3.956102684026948,0.509788783619801
CF-2-98,2,2,4.223272387363946,0.7144334307412205,3.7180916637804593,4.728453110947433,1.0103614471669733
UNC-ZDG-166-8,2,2,4.064315428982841,0.11531710987720284,3.9827739186018367,4.145856939363846,0.16308302076200887
CF-5-263,4,2,4.469533685181744,0.2187791664781353,4.308297538295245,4.771490460981321,0.46319292268607537
UNC-ZDG-82-5(20210526),2,2,1.2426224901462555,4.25661984856626,-1.7672622697082019,4.252507250000713,6.019769519708915
CF-3-139,2,2,4.957574832672727,,4.957574832672727,4.957574832672727,0.0
