raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
M567200(CSC015274258)-1,0.0009181544082074735,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.0370842763222377
M567200(CSC015274258)-2,0.0004500814589485654,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.346708877401847
M567200(CSC015274258)-3,0.00042693188568480823,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.3696414084196746
M567200(CSC015274258)-4,0.00048095291836939994,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.3178974356701456
M567200(CSC015274258)-5,0.0004188736599197862,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.3779169485696787
M567200(CSC015274258)-1,0.0009174313224879251,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.0374264364828174
M567200(CSC015274258)-2,0.00028912905821695865,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.5389082584189464
M567200(CSC015274258)-3,0.00021948637423846326,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.658592435680293
M567200(CSC015274258)-4,0.0003625239647928511,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.4406632789322082
M567200(CSC015274258)-5,0.00033772422429656474,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.4714377871554962
M567200(CSC015274258)-1,0.00036813363327973603,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.4339945028996266
M567200(CSC015274258)-1,0.00034087999776379334,20200928,M567200,O=S(=O)(c1ccc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)cc1)N1CCOCC1,manual_override,3.4673984816566183
CF-2-04,,20200928,CF-2-04,FC1=CC=C(NC2CCN(C3=C(Cl)C=CC=C3)C2=O)C=C1,id_with_smiles,
CF-2-26,0.002891508039625708,20200928,CF-2-26,FC1=CC=CC(F)=C1N2CCC(NC(C3=CC=CC=C3)=O)C2=O,id_with_smiles,2.538875595834802
CF-2-27,,20200928,CF-2-27,FC1=CC=CC(F)=C1N2CCC(NC(C3=C(Cl)C=CC=C3)=O)C2=O,id_with_smiles,
CF-2-34,,20200928,CF-2-34,FC1=CC=CC(F)=C1N2CCC(NC(CC3CCN(C(C)=O)CC3)=O)C2=O,id_with_smiles,
CF-2-57,0.001820645799628488,20200928,CF-2-57,O=C1N(C2=CC=CC=C2)CC(C(NCC3=CC=CC=C3)=O)C1,id_with_smiles,2.7397745364835795
CF-3-14,0.0007974382352141602,20200928,CF-3-14,CC1=CC=C(OC)C(NC([C@@H](N)CC2=CN=CN2)=O)=C1,id_with_smiles,3.0983029448155546
CF-3-19,,20200928,CF-3-19,COC1=CC=C(C)C=C1NC(CCCNC(OC(C)(C)C)=O)=O,id_with_smiles,
CF-3-33,,20200928,CF-3-33,COC1=CC=C(C)C=C1NC(CNC(C)=O)=O,id_with_smiles,
CF-3-34,,20200928,CF-3-34,COC1=CC=C(C)C=C1NC(CNC(CCNC(OC(C)(C)C)=O)=O)=O,id_with_smiles,
CF-4-03,0.001337023079149975,20200928,CF-4-03,FC1=CC(Cl)=CN=C1NCC2=CC=NC=C2,id_with_smiles,2.8738610960581554
CF-4-11,,20200928,CF-4-11,FC1=CC(Cl)=CN=C1N2C[C@H](NC(OC(C)(C)C)=O)CC2,id_with_smiles,
CF-4-39,0.0004726951084979892,20200928,CF-4-39,O=C(NCCCNC(OC(C)(C)C)=O)C1=CN=C(N[C@@H](C)CO)N=C1,id_with_smiles,3.3254188918018524
CF-4-40,,20200928,CF-4-40,O=C(NCC1CCN(C(OC(C)(C)C)=O)CC1)C2=CN=C(N[C@@H](C)CO)N=C2,id_with_smiles,
CF-6-19,0.001336486162330348,20200928,CF-6-19,O=C(O)C1CN(C(C2=CC=C(OC)C=C2)=O)C3=CC=CC=C31,id_with_smiles,2.8740355334691223
CF-6-23,0.0006090347259282711,20200928,CF-6-23,O=C(O)C1CN(C(C2=CC=CC=C2O)=O)C3=CC=CC=C31,id_with_smiles,3.215357944068164
CF-6-52,0.0008844188474484829,20200928,CF-6-52,O=C(O)C1CN(C(C2=CC=C(Br)C=C2F)=O)C3=CC=CC=C31,id_with_smiles,3.053342010942197
CF-6-64,0.0020778368129395165,20200928,CF-6-64,O=C(O)C1CN(C(COC2=CC=CC=C2)=O)C3=CC=CC=C31,id_with_smiles,2.682388563623317
CF-6-72,0.0002629790926153303,20200928,CF-6-72,O=C(O)C1CN(C(NC2=C(Cl)C=CC=C2)=O)C3=CC=CC=C31,id_with_smiles,3.5800787774521488
CF-6-78,0.0003754794584051977,20200928,CF-6-78,O=C(O)C1CN(C(CSC2=CC=C(F)C=C2)=O)C3=CC=CC=C31,id_with_smiles,3.4254138172358286
CF-2-05,0.00037575086603843346,20200928,CF-2-05,O=C1N(C2=C(Cl)C=CC=C2)CCC1NC3=CC=CC(F)=C3,id_with_smiles,3.4251000097689204
CF-2-28,0.00029058553120962246,20200928,CF-2-28,FC1=CC=CC(F)=C1N2CCC(NC(CC3=CC=CC=C3)=O)C2=O,id_with_smiles,3.5367260138241536
CF-2-29,0.0011517936431218294,20200928,CF-2-29,FC1=CC=CC(F)=C1N2CCC(NC(CC3=C(Cl)C=CC=C3)=O)C2=O,id_with_smiles,2.9386253227194046
CF-2-58,0.0014628025287948224,20200928,CF-2-58,O=C1N(C2=CC=CC=C2)CC(C(NC3=CC=CC=C3)=O)C1,id_with_smiles,2.8348142975541957
